,rpt_run_date,AM_ready_to_ship,ship_tomorrow
0,2023-02-27,825639.0,1569464.0
1,2023-02-24,631632.0,1866219.0
2,2023-02-28,952504.0,1243010.0
3,2022-11-07,1160322.8399658203,1512721.8399658203
4,2023-02-01,709407.0,961268.0
5,2023-03-01,1063518.0,1052657.51953125
6,2023-03-02,1167203.1999511719,1280256.19921875
7,2023-03-03,1319479.1999511719,1247921.279296875
8,2023-03-06,987485.2001953125,1609565.6796875
9,2023-03-07,985582.2001953125,1573744.0
10,2023-03-08,1015660.0,1285060.2001953125
11,2023-03-09,914987.0,1594648.2001953125
12,2023-03-10,865068.6799316406,1504786.0
13,2023-03-13,936916.6799316406,1434811.0
14,2023-03-14,867396.6799316406,1457021.6799316406
15,2023-03-15,807652.0,1393019.0
16,2023-03-16,782255.0,1114128.0
17,2023-03-17,755305.0,1531422.0
18,2023-03-20,826977.2399902344,1607633.3900048733
19,2023-03-21,718203.0799560547,985063.6700341702
20,2023-03-22,722156.9599609375,1189719.3901269436
21,2023-03-23,595301.9599609375,1385473.7998046875
22,2023-03-24,680314.9599609375,1233609.0
23,2023-03-27,570654.9599609375,1468040.7999267578
24,2023-03-28,482561.0,1407316.7999267578
25,2023-03-29,598310.0,913358.7999267578
26,2023-03-31,586230.0,908683.0
27,2023-04-03,572586.200012207,1124172.8798828125
28,2023-04-04,798615.200012207,1042127.0
29,2023-04-05,838224.2001953125,1264614.0
30,2023-04-10,804263.0,1044979.0
31,2023-04-07,730153.0,623494.0
32,2023-04-11,689336.0,811379.0
33,2023-04-12,773421.0,843066.0
34,2023-04-13,758878.0,1015800.0
35,2023-04-17,814194.0,956119.0
36,2023-04-18,865359.0,1316847.0
37,2023-04-19,782706.0,1244530.0
38,2023-04-20,935433.0,1306212.0
39,2023-04-21,710617.0,1260973.0
40,2023-04-25,856198.0,1099143.0
41,2023-04-24,716107.0,1300929.0
42,2023-04-26,775729.0,998362.25
43,2023-04-27,799596.0,697963.25
44,2023-04-28,695578.0,878855.25
45,2023-05-01,653217.0,1112123.25
46,2023-05-02,698499.0,838572.25
47,2023-05-03,724950.0,910913.25
48,2023-05-04,748721.0,986663.25
49,2023-05-05,685383.0,698283.25
50,2023-05-08,621465.0,862051.25
51,2023-05-09,818666.0,815939.25
52,2023-05-10,633499.0,1125197.25
53,2023-05-11,582339.0,1279919.25
54,2023-05-12,499706.0,1101890.25
55,2023-05-15,602131.0,959080.25
56,2023-05-16,636147.0,827760.25
57,2023-05-17,720122.0,882715.25
58,2023-05-18,905984.0,1310204.25
59,2023-05-19,896204.0,1117079.25
60,2023-05-22,929738.0,1212925.25
61,2023-05-23,821815.0,1024417.25
62,2023-05-24,786466.0,1035152.25
63,2023-05-25,811659.0,1117082.25
64,2023-05-26,738536.0,1149798.25
65,2023-05-30,805840.0,1287808.25
66,2023-05-29,771244.0,919066.25
67,2023-06-01,751272.0,1141062.25
68,2023-06-02,622462.0,1072099.25
69,2023-06-05,786162.0,852789.25
70,2023-06-06,908300.0,914901.25
71,2023-06-07,939810.0,898835.25
72,2023-06-08,871837.0,1439327.25
73,2023-06-09,739199.0,1222577.25
74,2023-06-12,716588.0,1264647.25
75,2023-06-13,689094.0,1242863.25
76,2023-06-14,635283.0,1244131.25
77,2023-06-15,618897.0,1442624.25
78,2023-06-16,541336.0,1457092.25
79,2023-06-19,620224.0,1135336.25
80,2023-06-20,566331.0,1194421.25
81,2023-06-21,523632.0,1133247.25
82,2023-06-23,533073.0,983383.3299999237
83,2023-06-26,608081.0,1323336.3299999237
84,2023-06-27,631554.0,1018026.3299999237
85,2023-06-28,665961.0,852683.3299999237
86,2023-06-29,686192.0,921395.3299999237
87,2023-06-30,752171.0,1075318.3299999237
88,2023-07-03,745588.0,1079026.3299999237
89,2023-07-05,787016.0,847592.3299999237
90,2023-07-10,718823.0,1043495.3299999237
91,2023-07-11,713370.0,824753.3299999237
92,2023-07-12,590980.0,829660.3299999237
93,2023-07-13,556513.0,618531.3299999237
94,2023-07-14,578015.0,654738.3299999237
95,2023-07-17,781153.0,852077.3299999237
96,2023-07-18,573928.0,769239.3299999237
97,2023-07-19,575706.0,1001218.3299999237
98,2023-07-20,643512.0,1313462.3299999237
99,2023-07-21,695079.0,1075049.3299999237
100,2023-07-24,693965.0,892242.3299999237
101,2023-07-25,618136.0,754233.3299999237
102,2023-07-26,680882.0,716548.3299999237
