,Month/Year,Intermodal,FTL,Railcar,LTL,Export,Sample,Reconsignment,Prepaid Total,CPU (Lolita),Wharehouse,Volume,Freight,Date
0,2020-01-01,186858,16202369,0,1562031,133295,8093,0,18092647,893728,129287,18238965,1116705,2020-01-01
1,2020-02-01,484266,15321662,0,1367145,110892,9600,12777,17306344,786606,97515,17351641,1004456,2020-02-01
2,2020-03-01,226131,14833164,0,1704613,188359,784,14827,16967879,673124,121385,17109146,1082965,2020-03-01
3,2020-04-01,151404,11334155,0,1328700,172824,2282,0,12989366,628177,53965,13041835,847409,2020-04-01
4,2020-05-01,0,11060998,0,1137361,77504,1814,0,12277679,644433,34849,12299060,758396,2020-05-01
5,2020-06-01,146479,12905141,0,1280980,188310,567,5788,14527266,822100,230918,14752213,932035,2020-06-01
6,2020-07-01,75917,15596671,0,1381909,147113,970,0,17202580,620435,174306,17400125,1148886,2020-07-01
7,2020-08-01,205969,14296036,0,1461765,209637,1071,17524,16192003,497795,96785,16279436,1260066,2020-08-01
8,2020-09-01,183644,16351935,0,1951289,15799,1286,31312,18535267,718634,117620,18650040,1344667,2020-09-01
9,2020-10-01,35268,16306751,0,1892452,240928,2858,0,18478258,770340,78316,18554254,1443034,2020-10-01
10,2020-11-01,0,13344123,0,1606212,143564,572,0,15094472,468678,57532,15151432,1180259,2020-11-01
11,2020-12-01,0,13012978,0,1571705,210074,388,19852,14814999,727137,99256,14907656,1130483,2020-12-01
12,2021-01-01,76557,16403167,0,1678014,25040,1868,8900,18193547,872419,295787,18285434,1335213,2021-01-01
13,2021-02-01,96188,13307694,0,1515205,173212,767,0,15093068,603396,159679,15092090,1168120,2021-02-01
14,2021-03-01,74898,19168221,0,1846255,129694,696,4368,21224133,751557,21211,21305796,1711779,2021-03-01
15,2021-04-01,38157,17504932,0,1221785,190698,260,0,18955833,330451,230381,18976928,1634757,2021-04-01
16,2021-05-01,38400,14429543,0,1252015,83560,1825,1659,15807003,318268,228826,15798376,1405707,2021-05-01
17,2021-06-01,33998,18762586,0,1670968,320454,1370,0,20789377,753966,64303,20815537,1946576,2021-06-01
18,2021-07-01,0,17478652,0,1678964,139364,4501,1658,19303141,595369,258096,19310501,1899372,2021-07-01
19,2021-08-01,38586,17000714,0,1668281,158630,1264,0,18867476,627756,0,18876073,1768660,2021-08-01
20,2021-09-01,0,18288450,0,1482770,212681,368,8928,19993197,473744,0,20123271,1823431,2021-09-01
21,2021-10-01,0,17054961,0,1090485,61588,953,23720,18231708,554924,0,18297664,1696599,2021-10-01
22,2021-11-01,0,15047202,0,1134816,189157,829,0,16372004,774488,0,16551363,1568156,2021-11-01
23,2021-12-01,0,14251928,0,1157576,116144,40933,0,15566582,426515,0,15689605,1464637,2021-12-01
24,2022-01-01,0,16930063,0,1194785,124606,1281,0,18250736,548575,0,18309828,1661053,2022-01-01
25,2022-02-01,0,14859222,0,912830,213960,1938,0,15987952,634314,0,16059369,1576954,2022-02-01
26,2022-03-01,0,20820667,0,1195174,34124,1520,1659,22053144,1004928,0,22090428,2190219,2022-03-01
27,2022-04-01,0,18346817,0,1124464,277758,1036,0,19750076,522233,0,19795092,2096817,2022-04-01
28,2022-05-01,0,17193174,0,1167407,100263,403,0,18461248,695655,0,18498042,1849781,2022-05-01
29,2022-06-01,0,18760701,0,1240229,80580,1537,0,20083049,717600,0,20161029,2056968,2022-06-01
30,2022-07-01,0,14170367,0,1218844,25040,36000,2464,15452716,793738,0,15523190,1614838,2022-07-01
31,2022-08-01,0,17168359,0,1315311,34048,17074,0,18534792,793099,0,18634346,1773884,2022-08-01
32,2022-09-01,0,15865198,0,1138683,22805,23233,0,17049920,753944,0,17144717,1530935,2022-09-01
33,2022-10-01,0,16568542,0,1160871,22728,5460,0,17757602,793586,0,17767867,1604177,2022-10-01
34,2022-11-01,0,15537557,0,1105639,0,601,0,16643799,525704,0,16666229,1422353,2022-11-01
35,2022-12-01,0,14339897,0,923280,21280,804,0,15285262,668393,0,15321227,1350503,2022-12-01
36,2023-01-01,0,15806641,0,1060205,61672,4118,11596,16944233,636427,0,16974548,1432281,2023-01-01
37,2023-02-01,0,16597934,0,1139234,44920,1172,23192,17806453,561613,0,17840183,1456004,2023-02-01
38,2023-03-01,0,19408377,0,1426088,21768,835,0,20857070,777161,0,20928672,1581152,2023-03-01
39,2023-04-01,0,14889383,0,1028040,65104,1451,0,15983979,595122,0,16066042,1241859,2023-04-01
40,2023-05-01,0,14348763,0,1080440,42066,37364,0,15508634,544950,0,15516449,1190166,2023-05-01
41,2023-06-01,0,16335198,0,1362353,0,1260,0,17698812,662867,0,17697552,1372030,2023-06-01
42,2023-07-01,0,14924383,0,1109401,73738,1241,0,16108764,632718,0,16159146,1185860,2023-07-01
43,2023-08-01,0,18249206,0,1160322,75904,3710,0,19489143,560043,0,19501457,1439700,2023-08-01
44,2023-09-01,0,17385848,0,959779,0,1541,0,18347170,775281,0,18379095,1383021,2023-09-01
45,2023-10-01,0,18448196,0,1128327,39624,1938,0,19618086,541911,0,19668131,1460000,2023-10-01
