,Date,Pallet Entry,Entry Hours,Pallet Entry Rate (plt/hr),blank1,Pallet Exit,Exit Hours,Pallet Exit Rate (plt/hr),blank2,Pallets Shipped,Occupied Cells,Free Cells,CMA down time,Reason,Pallet Abnormal AS400,Pallet Abnormal CMA
0,2021-01-01,208.0,24.0,8.7,,0.0,16.0,0.0,,0.0,,,,,,
1,2021-01-02,327.0,24.0,13.6,,0.0,16.0,0.0,,0.0,,,,,,
2,2021-01-03,333.0,24.0,13.9,,0.0,16.0,0.0,,0.0,,,,,,
3,2021-01-04,348.0,24.0,14.5,,643.0,16.0,40.2,,609.0,6254.0,2708.0,,,17.0,57.0
4,2021-01-05,407.0,24.0,17.0,,724.0,16.0,45.3,,472.0,6145.0,2816.0,,,26.0,67.0
5,2021-01-06,501.0,24.0,20.9,,608.0,16.0,38.0,,636.0,6030.0,2947.0,,,43.0,57.0
6,2021-01-07,411.0,24.0,17.1,,560.0,16.0,35.0,,625.0,6057.0,2919.0,,,34.0,69.0
7,2021-01-08,391.0,24.0,16.3,,474.0,16.0,29.6,,467.0,5961.0,2995.0,,,30.0,63.0
8,2021-01-09,476.0,24.0,19.8,,186.0,16.0,11.6,,156.0,,,,,,
9,2021-01-10,422.0,24.0,17.6,,306.0,16.0,19.1,,0.0,,,,,,
10,2021-01-11,391.0,24.0,16.3,,652.0,16.0,40.8,,511.0,6176.0,2802.0,,,3.0,15.0
11,2021-01-12,344.0,24.0,14.3,,524.0,16.0,32.8,,721.0,6041.0,2936.0,,,3.0,9.0
12,2021-01-13,501.0,24.0,20.9,,546.0,16.0,34.1,,594.0,5924.0,3052.0,,,8.0,5.0
13,2021-01-14,460.0,24.0,19.2,,487.0,16.0,30.4,,432.0,5888.0,3089.0,,,7.0,
14,2021-01-15,459.0,24.0,19.1,,222.0,16.0,13.9,,368.0,5883.0,3094.0,,,1.0,8.0
15,2021-01-16,422.0,24.0,17.6,,0.0,16.0,0.0,,0.0,,,,,,
16,2021-01-17,434.0,24.0,18.1,,119.0,16.0,7.4,,0.0,,,,,,
17,2021-01-18,365.0,24.0,15.2,,725.0,16.0,45.3,,588.0,6479.0,2499.0,,,3.0,138.0
18,2021-01-19,364.0,24.0,15.2,,620.0,16.0,38.8,,795.0,6260.0,2717.0,,,0.0,8.0
19,2021-01-20,369.0,24.0,15.4,,524.0,16.0,32.8,,468.0,6079.0,2896.0,,,0.0,11.0
20,2021-01-21,380.0,24.0,15.8,,674.0,16.0,42.1,,682.0,5975.0,3000.0,,,1.0,13.0
21,2021-01-22,365.0,24.0,15.2,,490.0,16.0,30.6,,521.0,5780.0,3188.0,,,2.0,50.0
22,2021-01-23,390.0,24.0,16.3,,0.0,16.0,0.0,,0.0,,,,,,
23,2021-01-24,400.0,24.0,16.7,,76.0,16.0,4.8,,0.0,,,,,,
24,2021-01-25,358.0,24.0,14.9,,690.0,16.0,43.1,,557.0,6141.0,2833.0,,,8.0,26.0
25,2021-01-26,426.0,24.0,17.8,,686.0,16.0,42.9,,719.0,6013.0,2963.0,,,3.0,8.0
26,2021-01-27,448.0,24.0,18.7,,647.0,16.0,40.4,,632.0,5836.0,3140.0,,,4.0,1.0
27,2021-01-28,431.0,24.0,18.0,,489.0,16.0,30.6,,547.0,5711.0,3261.0,,,1.0,33.0
28,2021-01-29,472.0,24.0,19.7,,57.0,16.0,3.6,,495.0,5668.0,3304.0,,,2.0,34.0
29,2021-01-30,575.0,24.0,24.0,,78.0,16.0,4.9,,64.0,,,,,,
30,2021-01-31,501.0,24.0,20.9,,455.0,16.0,28.4,,0.0,,,,,,
31,2021-02-01,507.0,24.0,21.1,,641.0,16.0,40.1,,432.0,6221.0,2754.0,,,15.0,13.0
32,2021-02-02,447.0,24.0,18.6,,611.0,16.0,38.2,,828.0,6117.0,2858.0,,,2.0,14.0
33,2021-02-03,427.0,24.0,17.8,,672.0,16.0,42.0,,519.0,5968.0,3005.0,,,7.0,16.0
34,2021-02-04,468.0,24.0,19.5,,641.0,16.0,40.1,,538.0,5809.0,3161.0,,,11.0,21.0
35,2021-02-05,480.0,24.0,20.0,,396.0,16.0,24.8,,577.0,5726.0,3250.0,,,5.0,44.0
36,2021-02-06,492.0,24.0,20.5,,165.0,16.0,10.3,,0.0,,,,,,
37,2021-02-07,449.0,24.0,18.7,,55.0,16.0,3.4,,0.0,,,,,,
38,2021-02-08,504.0,24.0,21.0,,597.0,16.0,37.3,,650.0,6197.0,2778.0,,,14.0,2.0
39,2021-02-09,499.0,24.0,20.8,,671.0,16.0,41.9,,702.0,6133.0,2839.0,,,2.0,5.0
40,2021-02-10,481.0,24.0,20.0,,585.0,16.0,36.6,,648.0,6020.0,2950.0,,,3.0,3.0
41,2021-02-11,462.0,24.0,19.3,,483.0,16.0,30.2,,486.0,5969.0,3006.0,,,6.0,2.0
42,2021-02-12,257.0,24.0,10.7,,468.0,16.0,29.3,,535.0,5926.0,3048.0,,,9.0,4.0
43,2021-02-13,301.0,24.0,12.5,,0.0,16.0,0.0,,0.0,,,,,,
44,2021-02-14,170.0,24.0,7.1,,0.0,16.0,0.0,,0.0,,,,,,
45,2021-02-15,0.0,24.0,0.0,,0.0,16.0,0.0,,0.0,,,,,,
46,2021-02-16,0.0,24.0,0.0,,0.0,16.0,0.0,,0.0,,,,,,
